data 2020-11-30 11:44:59 , accessi 196 , mappa:  180 , grafico:  114 , downdati:  113 , downgrafico:  113
data 2020-11-30 11:45:00 , accessi 196 , mappa:  180 , grafico:  114 , downdati:  114 , downgrafico:  113
data 2020-11-30 11:45:00 , accessi 196 , mappa:  180 , grafico:  114 , downdati:  114 , downgrafico:  114
data 2020-11-30 11:45:21 , accessi 196 , mappa:  180 , grafico:  115 , downdati:  114 , downgrafico:  114
data 2020-11-30 11:45:21 , accessi 196 , mappa:  180 , grafico:  115 , downdati:  115 , downgrafico:  114
data 2020-11-30 11:45:21 , accessi 196 , mappa:  180 , grafico:  115 , downdati:  115 , downgrafico:  115
data 2020-11-30 14:24:07 , accessi 197 , mappa:  180 , grafico:  115 , downdati:  115 , downgrafico:  115
data 2020-11-30 14:25:46 , accessi 197 , mappa:  181 , grafico:  115 , downdati:  115 , downgrafico:  115
data 2020-11-30 14:26:09 , accessi 197 , mappa:  181 , grafico:  116 , downdati:  115 , downgrafico:  115
data 2020-11-30 14:26:10 , accessi 197 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  115
data 2020-11-30 14:26:10 , accessi 197 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-03 10:02:24 , accessi 198 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-03 10:02:46 , accessi 199 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 11:26:38 , accessi 200 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 11:27:01 , accessi 201 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 11:30:37 , accessi 202 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 11:30:48 , accessi 203 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 12:13:20 , accessi 204 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 12:50:22 , accessi 205 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 12:51:56 , accessi 206 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 13:30:07 , accessi 207 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 20:49:07 , accessi 208 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-11 22:51:09 , accessi 209 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-21 08:57:31 , accessi 210 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2020-12-21 09:46:57 , accessi 211 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2021-01-07 10:00:58 , accessi 212 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2021-01-07 10:02:02 , accessi 213 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2021-01-07 10:19:53 , accessi 214 , mappa:  181 , grafico:  116 , downdati:  116 , downgrafico:  116
data 2021-01-07 10:22:18 , accessi 214 , mappa:  181 , grafico:  117 , downdati:  116 , downgrafico:  116
data 2021-01-07 10:22:18 , accessi 214 , mappa:  181 , grafico:  117 , downdati:  117 , downgrafico:  116
data 2021-01-07 10:22:18 , accessi 214 , mappa:  181 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-07 10:23:21 , accessi 214 , mappa:  182 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-08 13:02:03 , accessi 215 , mappa:  182 , grafico:  117 , downdati:  117 , downgrafico:  117
data 2021-01-12 16:02:24 , accessi 216 , mappa:  182 , grafico:  117 , downdati:  117 , downgrafico:  117
